,Match_ID,date_str,Team,T1_Won,R2.0_T1,ACS_T1,K_T1,D_T1,A_T1,+/- K/D_T1,KAST_T1,ADR_T1,HS%_T1,FK_T1,FD_T1,+/- FK/FD_T1,vs Team,R2.0_T2,ACS_T2,K_T2,D_T2,A_T2,+/- K/D_T2,KAST_T2,ADR_T2,HS%_T2,FK_T2,FD_T2,+/- FK/FD_T2
0,2023-02-13_DetonatioN FocusMe/Giants Gaming,2023-02-13,DetonatioN FocusMe,0,0.7683333333333334,166.5,17.333333333333332,24.833333333333332,6.833333333333333,-7.5,60.0,107.33333333333333,33.0,2.5,3.6666666666666665,-1.1666666666666667,Giants Gaming,0.7683333333333334,166.5,17.333333333333332,24.833333333333332,6.833333333333333,-7.5,60.0,107.33333333333333,33.0,2.5,3.6666666666666665,-1.1666666666666667
1,2023-02-13_KOI/NRG Esports,2023-02-13,KOI,0,1.034,170.6,27.0,30.4,12.6,-3.4,68.0,113.0,25.6,3.2,6.0,-2.8,NRG Esports,1.034,170.6,27.0,30.4,12.6,-3.4,68.0,113.0,25.6,3.2,6.0,-2.8
2,2023-02-14_BBL Esports/DRX,2023-02-14,BBL Esports,0,0.876,175.8,37.6,45.8,15.2,-8.2,67.2,117.0,28.4,5.2,6.8,-1.6,DRX,0.876,175.8,37.6,45.8,15.2,-8.2,67.2,117.0,28.4,5.2,6.8,-1.6
3,2023-02-14_Cloud9/Paper Rex,2023-02-14,Cloud9,1,1.358,231.8,31.6,22.0,16.6,9.6,86.2,148.2,24.0,4.4,3.2,1.2,Paper Rex,1.358,231.8,31.6,22.0,16.6,9.6,86.2,148.2,24.0,4.4,3.2,1.2
4,2023-02-14_FunPlus Phoenix/Karmine Corp,2023-02-14,FunPlus Phoenix,0,0.8939999999999999,185.0,38.0,44.0,17.2,-6.0,71.2,119.6,27.6,3.6,8.2,-4.6,Karmine Corp,0.8939999999999999,185.0,38.0,44.0,17.2,-6.0,71.2,119.6,27.6,3.6,8.2,-4.6
5,2023-02-15_Evil Geniuses/Team Heretics,2023-02-15,Evil Geniuses,1,0.9480000000000001,221.8,33.0,27.8,19.2,5.2,80.0,140.0,16.4,4.6,3.8,0.8,Team Heretics,0.9480000000000001,221.8,33.0,27.8,19.2,5.2,80.0,140.0,16.4,4.6,3.8,0.8
6,2023-02-15_Gen.G/LOUD,2023-02-15,Gen.G,0,1.116,200.8,33.8,34.6,20.0,-0.8,73.8,125.4,20.2,4.8,4.8,0.0,LOUD,1.116,200.8,33.8,34.6,20.0,-0.8,73.8,125.4,20.2,4.8,4.8,0.0
7,2023-02-15_MIBR/TALON,2023-02-15,MIBR,0,0.908,208.4,32.2,33.4,18.2,-1.2,70.8,134.8,29.2,4.6,4.4,0.2,TALON,0.908,208.4,32.2,33.4,18.2,-1.2,70.8,134.8,29.2,4.6,4.4,0.2
8,2023-02-17_Giants Gaming/NRG Esports,2023-02-17,Giants Gaming,0,0.8960000000000001,182.8,37.8,44.4,16.2,-6.6,69.8,125.6,26.4,5.2,6.6,-1.4,NRG Esports,0.8960000000000001,182.8,37.8,44.4,16.2,-6.6,69.8,125.6,26.4,5.2,6.6,-1.4
9,2023-02-17_Karmine Corp/LOUD,2023-02-17,Karmine Corp,0,0.9480000000000001,196.4,29.6,32.2,13.8,-2.6,70.4,128.2,32.0,3.6,5.2,-1.6,LOUD,0.9480000000000001,196.4,29.6,32.2,13.8,-2.6,70.4,128.2,32.0,3.6,5.2,-1.6
10,2023-02-18_Cloud9/DRX,2023-02-18,Cloud9,0,1.03,189.4,33.0,37.0,14.4,-4.0,67.4,122.6,19.8,4.0,6.2,-2.2,DRX,1.03,189.4,33.0,37.0,14.4,-4.0,67.4,122.6,19.8,4.0,6.2,-2.2
11,2023-02-18_Evil Geniuses/TALON,2023-02-18,Evil Geniuses,0,0.6220000000000001,194.0,30.6,34.8,17.4,-4.2,70.8,126.0,18.2,4.2,5.2,-1.0,TALON,0.6220000000000001,194.0,30.6,34.8,17.4,-4.2,70.8,126.0,18.2,4.2,5.2,-1.0
12,2023-02-19_DRX/TALON,2023-02-19,DRX,1,0.998,212.0,47.8,42.2,23.6,5.6,76.4,135.0,25.0,5.8,7.2,-1.4,TALON,0.998,212.0,47.8,42.2,23.6,5.6,76.4,135.0,25.0,5.8,7.2,-1.4
13,2023-02-19_LOUD/NRG Esports,2023-02-19,LOUD,1,1.072,218.4,58.6,54.0,23.4,4.6,73.6,142.6,23.6,7.2,8.4,-1.2,NRG Esports,1.072,218.4,58.6,54.0,23.4,4.6,73.6,142.6,23.6,7.2,8.4,-1.2
14,2023-02-22_KRÜ Esports/Natus Vincere,2023-02-22,KRÜ Esports,0,1.016,153.8,21.4,32.8,9.8,-11.4,63.4,105.0,26.4,3.8,4.4,-0.6,Natus Vincere,1.016,153.8,21.4,32.8,9.8,-11.4,63.4,105.0,26.4,3.8,4.4,-0.6
15,2023-02-22_LEVIATÁN/ZETA DIVISION,2023-02-22,LEVIATÁN,1,1.23,212.6,30.6,21.6,12.6,9.0,79.4,134.6,24.2,5.8,2.2,3.6,ZETA DIVISION,1.23,212.6,30.6,21.6,12.6,9.0,79.4,134.6,24.2,5.8,2.2,3.6
16,2023-02-22_Team Liquid/Team Secret,2023-02-22,Team Liquid,0,0.728,199.2,27.8,31.2,11.0,-3.4,67.2,124.2,25.6,3.6,4.6,-1.0,Team Secret,0.728,199.2,27.8,31.2,11.0,-3.4,67.2,124.2,25.6,3.6,4.6,-1.0
