Use,RND,Rating2.0,ACS,K:D,ADR,KAST,KPR,APR,FKPR,FDPR,K,D,A,FK,FD,Agent,Player
(143) 36%,3023,1.16,217.7,1.22,141.3,77%,0.75,0.33,0.09,0.07,2281,1875,988,268,215,viper,kingg
(81) 20%,1698,1.17,252.5,1.27,159.2,73%,0.86,0.23,0.16,0.11,1456,1145,394,278,186,raze,kingg
(55) 14%,1190,1.12,197.7,1.16,128.5,78%,0.71,0.44,0.09,0.08,840,727,523,109,95,omen,kingg
(32) 8%,668,1.12,222.2,1.11,144.1,74%,0.75,0.43,0.12,0.11,500,451,284,81,72,kayo,kingg
(21) 5%,406,1.16,207.7,1.25,128.2,78%,0.75,0.43,0.12,0.09,303,243,174,47,35,sage,kingg
(19) 5%,402,1.16,207.8,1.28,134.2,78%,0.76,0.37,0.07,0.06,304,237,148,30,26,breach,kingg
(16) 4%,339,1.0,217.4,1.08,137.2,68%,0.76,0.2,0.17,0.19,256,237,67,57,65,neon,kingg
(15) 4%,303,1.26,257.3,1.51,153.9,78%,0.94,0.28,0.14,0.1,284,188,86,42,30,phoenix,kingg
(6) 1%,133,1.02,195.2,0.98,132.3,72%,0.71,0.29,0.08,0.04,95,97,39,11,5,astra,kingg
(5) 1%,96,0.9,187.8,0.86,123.2,68%,0.64,0.16,0.16,0.19,61,71,15,15,18,yoru,kingg
(3) 1%,67,1.21,202.3,1.26,126.0,75%,0.73,0.51,0.1,0.06,49,39,34,7,4,brimstone,kingg
(2) 0%,39,1.25,217.5,1.5,138.4,87%,0.77,0.23,0.15,0.03,30,20,9,6,1,skye,kingg
(2) 0%,32,0.94,183.0,0.95,128.5,66%,0.66,0.25,0.16,0.13,21,22,8,5,4,vyse,kingg
(1) 0%,17,,239.0,1.0,144.1,,0.82,0.18,0.12,0.12,14,14,3,2,2,reyna,kingg
(1) 0%,17,1.09,203.0,1.3,133.7,76%,0.76,0.06,0.24,0.18,13,10,1,4,3,waylay,kingg
(179) 57%,3833,1.18,246.7,1.29,158.0,71%,0.88,0.13,0.17,0.15,3386,2626,496,667,566,jett,sato
(56) 18%,1214,1.18,263.1,1.24,170.6,72%,0.91,0.17,0.2,0.16,1101,891,208,237,192,raze,sato
(33) 10%,719,1.27,267.0,1.37,169.2,73%,0.95,0.19,0.23,0.15,684,498,137,164,106,yoru,sato
(32) 10%,672,1.01,233.3,1.06,148.5,72%,0.8,0.21,0.17,0.18,539,507,141,111,123,neon,sato
(12) 4%,264,1.16,228.5,1.26,146.7,67%,0.82,0.11,0.17,0.13,217,172,28,44,34,chamber,sato
(1) 0%,24,1.25,283.0,1.39,169.7,67%,1.04,0.13,0.13,0.17,25,18,3,3,4,killjoy,sato
(1) 0%,24,0.37,123.0,0.43,82.5,58%,0.42,0.21,0.04,0.17,10,23,5,1,4,reyna,sato
(1) 0%,23,1.28,240.0,1.43,157.1,83%,0.87,0.17,0.09,0.09,20,14,4,2,2,brimstone,sato
(1) 0%,23,0.5,134.0,0.55,100.3,52%,0.48,0.04,0.09,0.3,11,20,1,2,7,waylay,sato
(261) 37%,5452,1.05,202.4,1.06,127.4,76%,0.72,0.35,0.09,0.08,3903,3696,1911,465,451,omen,valyn
(226) 32%,4728,1.06,209.5,1.1,132.5,76%,0.74,0.33,0.09,0.07,3499,3170,1555,410,340,astra,valyn
(83) 12%,1695,1.14,231.7,1.21,147.8,75%,0.81,0.31,0.12,0.1,1378,1135,519,200,166,viper,valyn
(73) 10%,1547,1.05,205.8,1.04,129.7,78%,0.71,0.41,0.09,0.08,1099,1052,638,139,117,brimstone,valyn
(32) 5%,660,0.98,197.5,0.98,126.6,71%,0.71,0.28,0.08,0.08,468,479,188,53,56,harbor,valyn
(13) 2%,261,1.42,242.5,1.37,147.7,77%,0.84,0.26,0.11,0.11,220,161,69,29,29,cypher,valyn
