Use,RND,Rating2.0,ACS,K:D,ADR,KAST,KPR,APR,FKPR,FDPR,K,D,A,FK,FD,Agent,Player
(5) 50%,114,1.08,208.0,1.05,137.5,69%,0.71,0.25,0.09,0.08,81,77,28,10,9,viper,kingg
(4) 40%,87,1.2,221.8,1.36,143.5,79%,0.83,0.4,0.07,0.11,72,53,35,6,10,omen,kingg
(1) 10%,15,0.32,81.0,0.23,57.6,33%,0.2,0.2,0.07,0.2,3,13,3,1,3,vyse,kingg
(3) 38%,59,1.3,271.3,1.36,185.5,80%,0.97,0.2,0.2,0.17,57,42,12,12,10,yoru,sato
(2) 25%,50,0.87,224.0,0.95,147.8,66%,0.8,0.1,0.18,0.22,40,42,5,9,11,raze,sato
(2) 25%,42,0.84,212.5,0.94,140.5,71%,0.76,0.12,0.19,0.19,32,34,5,8,8,neon,sato
(1) 13%,15,0.35,140.0,0.47,81.3,53%,0.47,0.07,0.13,0.33,7,15,1,2,5,jett,sato
(23) 74%,491,1.04,202.1,1.05,128.0,76%,0.7,0.4,0.1,0.08,346,331,196,49,40,omen,valyn
(4) 13%,91,1.0,180.8,1.05,118.2,76%,0.67,0.3,0.08,0.04,61,58,27,7,4,astra,valyn
(4) 13%,85,1.21,219.0,1.25,141.2,79%,0.78,0.39,0.12,0.04,66,53,33,10,3,brimstone,valyn
(22) 71%,487,1.12,235.5,1.19,146.8,70%,0.84,0.18,0.18,0.13,411,346,88,90,63,yoru,jawgemo
(4) 13%,80,0.93,214.3,1.03,134.4,74%,0.76,0.2,0.19,0.18,61,59,16,15,14,neon,jawgemo
(4) 13%,77,1.15,239.0,1.48,136.4,73%,0.92,0.19,0.13,0.13,71,48,15,10,10,waylay,jawgemo
(1) 3%,23,0.6,141.0,0.5,101.0,61%,0.39,0.26,0.09,0.22,9,18,6,2,5,raze,jawgemo
(5) 36%,100,1.18,236.0,1.18,146.1,73%,0.79,0.33,0.1,0.06,79,67,33,10,6,viper,babybay
(3) 21%,64,0.9,186.0,0.89,126.0,70%,0.61,0.28,0.09,0.06,39,44,18,6,4,killjoy,babybay
(3) 21%,58,1.33,268.0,1.5,172.6,90%,0.93,0.29,0.28,0.09,54,36,17,16,5,chamber,babybay
(1) 7%,28,0.95,177.0,0.94,122.3,57%,0.61,0.18,0.07,0.18,17,18,5,2,5,veto,babybay
