Map (#),WIN%,W,L,ATK 1st,DEF 1st,ATK RWin%,RW,RL,DEF RWin%,RW.1,RL.1,Team
Bind (36),44%,16,20,14,22,47%,177,197,51%,204,195,LEVIATÁN
Haven (51),61%,31,20,15,36,55%,297,240,48%,281,301,LEVIATÁN
Split (29),38%,11,18,10,19,48%,138,152,48%,143,155,LEVIATÁN
Ascent (53),53%,28,25,25,28,46%,239,278,58%,333,237,LEVIATÁN
Icebox (45),62%,28,17,17,28,54%,244,204,52%,261,245,LEVIATÁN
Breeze (21),57%,12,9,8,13,54%,114,97,56%,122,94,LEVIATÁN
Fracture (10),50%,5,5,2,8,49%,45,46,50%,60,60,LEVIATÁN
Pearl (15),67%,10,5,3,12,55%,84,68,53%,94,84,LEVIATÁN
Lotus (31),55%,17,14,15,16,57%,190,141,43%,152,204,LEVIATÁN
Sunset (17),65%,11,6,5,12,59%,93,64,51%,96,93,LEVIATÁN
Abyss (5),80%,4,1,2,3,46%,25,29,66%,39,20,LEVIATÁN
Bind (29),52%,15,14,13,16,53%,161,143,50%,156,153,G2 Esports
Haven (36),53%,19,17,12,24,51%,186,181,51%,206,196,G2 Esports
Split (32),66%,21,11,20,12,56%,199,157,55%,171,140,G2 Esports
Ascent (36),69%,25,11,27,9,52%,223,205,55%,198,164,G2 Esports
Icebox (26),50%,13,13,10,16,54%,133,112,50%,140,140,G2 Esports
Breeze (8),50%,4,4,5,3,48%,44,47,51%,45,43,G2 Esports
Fracture (7),29%,2,5,3,4,43%,29,38,41%,28,41,G2 Esports
Pearl (16),69%,11,5,5,11,60%,106,70,47%,90,103,G2 Esports
Lotus (45),67%,30,15,20,25,52%,243,227,58%,283,206,G2 Esports
Sunset (17),47%,8,9,6,11,53%,83,75,49%,98,100,G2 Esports
Abyss (10),70%,7,3,3,7,62%,64,39,47%,53,59,G2 Esports
Bind (89),66%,59,30,46,37,56%,499,393,53%,454,399,Sentinels
Haven (126),69%,87,39,55,67,57%,726,551,56%,722,558,Sentinels
Split (112),68%,76,36,68,44,54%,630,544,60%,660,448,Sentinels
Ascent (85),59%,50,35,23,59,48%,380,406,56%,515,407,Sentinels
Icebox (66),55%,36,30,28,38,53%,371,323,50%,363,360,Sentinels
Breeze (21),62%,13,8,9,12,50%,111,110,57%,129,97,Sentinels
Fracture (22),55%,12,10,10,12,47%,111,124,51%,125,122,Sentinels
Pearl (29),62%,18,11,12,17,58%,179,131,50%,159,160,Sentinels
Lotus (41),68%,28,13,18,23,56%,241,188,53%,238,207,Sentinels
Sunset (38),68%,26,12,20,18,56%,238,189,53%,214,190,Sentinels
Abyss (8),50%,4,4,7,1,48%,47,50,51%,44,42,Sentinels
Bind (74),61%,45,29,34,39,55%,397,320,55%,421,347,100 Thieves
Haven (89),58%,52,37,39,50,54%,496,415,51%,492,482,100 Thieves
Split (58),57%,33,25,27,31,44%,262,334,58%,347,254,100 Thieves
Ascent (91),59%,54,37,46,44,48%,440,476,58%,530,381,100 Thieves
Icebox (67),60%,40,27,27,40,54%,387,334,55%,406,334,100 Thieves
Breeze (35),66%,23,12,11,24,58%,203,147,52%,205,189,100 Thieves
Fracture (29),66%,19,10,7,22,59%,165,116,50%,163,162,100 Thieves
Pearl (13),54%,7,6,6,7,45%,63,77,53%,84,76,100 Thieves
Lotus (16),38%,6,10,11,5,51%,94,91,37%,59,99,100 Thieves
Sunset (12),17%,2,10,2,10,37%,42,73,45%,58,70,100 Thieves
Abyss (1),0%,0,1,1,0,42%,5,7,45%,5,6,100 Thieves
Bind (49),71%,35,14,23,26,53%,261,227,60%,306,207,KRÜ Esports
Haven (68),57%,39,29,28,39,51%,340,327,54%,397,335,KRÜ Esports
Split (50),62%,31,19,23,27,58%,279,206,54%,273,230,KRÜ Esports
Ascent (68),56%,38,30,28,40,49%,337,347,55%,380,306,KRÜ Esports
Icebox (39),56%,22,17,16,23,55%,205,168,52%,212,198,KRÜ Esports
Breeze (20),65%,13,7,9,11,48%,102,110,56%,123,97,KRÜ Esports
Fracture (13),31%,4,9,6,7,46%,58,68,43%,58,76,KRÜ Esports
Pearl (12),42%,5,7,3,9,60%,70,46,42%,58,81,KRÜ Esports
Lotus (28),36%,10,18,17,11,58%,182,132,39%,115,182,KRÜ Esports
Sunset (15),53%,8,7,10,5,58%,94,69,43%,65,86,KRÜ Esports
Abyss (9),56%,5,4,8,1,50%,52,53,56%,47,37,KRÜ Esports
Bind (70),50%,35,35,20,46,49%,313,327,55%,386,319,Cloud9
Haven (111),60%,67,44,63,44,60%,685,458,50%,529,525,Cloud9
Split (80),58%,46,34,36,43,46%,372,444,61%,505,326,Cloud9
Ascent (125),65%,81,44,56,67,55%,689,558,58%,726,516,Cloud9
Icebox (58),64%,37,21,32,26,56%,326,255,55%,336,274,Cloud9
Breeze (28),71%,20,8,23,5,57%,180,137,57%,142,105,Cloud9
Fracture (22),55%,12,10,12,10,53%,128,113,50%,119,117,Cloud9
Pearl (23),57%,13,10,13,10,54%,130,112,52%,125,115,Cloud9
Lotus (39),59%,23,16,20,19,55%,224,185,51%,217,210,Cloud9
Sunset (17),82%,14,3,7,10,64%,114,65,52%,90,84,Cloud9
Abyss (8),38%,3,5,3,5,57%,54,40,40%,35,52,Cloud9
Bind (53),58%,31,22,32,21,54%,291,251,52%,289,268,Evil Geniuses
Haven (67),40%,27,40,18,49,48%,310,338,46%,351,414,Evil Geniuses
Split (77),57%,44,33,46,31,53%,455,407,51%,386,365,Evil Geniuses
Ascent (96),58%,56,40,41,54,48%,473,504,58%,589,434,Evil Geniuses
